contestant,series,round,episode,tech_rank_scaled,sig_sum,showstopper_sum,tech_rank,n_remaining,series_winner,eliminated_round,baker_id,signature_bake,signature_flavor,signature_looks,first_half_review,showstopper_bake,showstopper_flavor,showstopper_looks,second_half_review,star_baker,eliminated,sig_ss_sum,season,gender,age,occupation,hometown
Manon,6,6,6.6,0,-3,-3,4,7,0,8,6.Manon,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-6,9,F,26,Software project manager,London
Rahul,6,6,6.6,1,3,2,3,7,1,10,6.Rahul,1,1,1,1,0,1,1,1,0,0,5,9,M,30,Research scientist,Rotherham
Ruby,6,6,6.6,-3,3,3,7,7,0,10,6.Ruby,1,1,1,-1,1,1,1,1,0,0,6,9,F,29,Project manager,London
Briony,6,7,6.7,-1.8000000000000003,-1,3,5,6,0,9,6.Briony,0,-1,0,-1,1,1,1,NA,0,0,2,9,F,33,Stay at home parent,Bristol
Jon,6,7,6.7,-0.5999999999999999,-3,0,4,6,0,7,6.Jon,-1,-1,-1,-1,1,0,-1,-1,0,1,-3,9,M,47,Blood courier,Newport
Kim-Joy,6,7,6.7,-3,3,3,6,6,0,10,6.Kim-Joy,1,1,1,NA,1,1,1,1,1,0,6,9,F,27,Mental health specialist,Leeds
Manon,6,7,6.7,1.7999999999999998,3,-1,2,6,0,8,6.Manon,1,1,1,1,-1,-1,1,NA,0,0,2,9,F,26,Software project manager,London
Rahul,6,7,6.7,3,2,-2,1,6,1,10,6.Rahul,1,1,0,1,-1,0,-1,1,0,0,0,9,M,30,Research scientist,Rotherham
Ruby,6,7,6.7,0.5999999999999999,1,1,3,6,0,10,6.Ruby,1,-1,1,-1,1,1,-1,-1,0,0,2,9,F,29,Project manager,London
Briony,6,8,6.8,3,-3,2,1,5,0,9,6.Briony,-1,-1,-1,1,1,1,0,1,0,0,-1,9,F,33,Stay at home parent,Bristol
Kim-Joy,6,8,6.8,1.5,2,1,2,5,0,10,6.Kim-Joy,0,1,1,1,-1,1,1,-1,0,0,3,9,F,27,Mental health specialist,Leeds
Manon,6,8,6.8,-1.5,-3,1,4,5,0,8,6.Manon,-1,-1,-1,-1,-1,1,1,-1,0,1,-2,9,F,26,Software project manager,London
Rahul,6,8,6.8,-3,-2,0,5,5,1,10,6.Rahul,-1,0,-1,-1,-1,1,0,-1,0,0,-2,9,M,30,Research scientist,Rotherham
